last_name, first_name,player_id,oaa,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_fieldout_2stars,n_opp_2stars,n_2star_percent,n_fieldout_1stars,n_opp_1stars,n_1star_percent
Judge, Aaron,592450,20,6,56,10.7,14,26,53.8,33,45,73.3,58,61,95.1,48,52,92.3
Duvall, Adam,594807,19,5,58,8.6,19,35,54.3,37,49,75.5,68,73,93.2,47,49,95.9
Heredia, Guillermo,628338,19,3,48,6.3,23,41,56.1,33,42,78.6,47,51,92.2,40,43,93.0
Grichuk, Randal,545341,17,3,91,3.3,12,24,50.0,48,57,84.2,81,87,93.1,57,61,93.4
Jankowski, Travis,608671,16,2,15,13.3,11,17,64.7,25,29,86.2,31,35,88.6,31,31,100.0
Bourjos, Peter,488721,16,3,24,12.5,9,14,64.3,28,33,84.8,26,28,92.9,25,25,100.0
Lagares, Juan,501571,16,1,33,3.0,10,17,58.8,24,27,88.9,38,42,90.5,37,38,97.4
Almora Jr., Albert,546991,16,3,47,6.4,16,29,55.2,39,53,73.6,57,60,95.0,47,47,100.0
Herrera, Odubel,546318,16,8,71,11.3,23,47,48.9,52,67,77.6,74,86,86.0,83,90,92.2
Bellinger, Cody,641355,16,9,32,28.1,9,19,47.4,22,25,88.0,29,32,90.6,27,31,87.1
Pillar, Kevin,607680,15,6,112,5.4,25,50,50.0,65,91,71.4,88,98,89.8,104,111,93.7
Eaton, Adam,594809,14,8,76,10.5,25,52,48.1,36,53,67.9,71,81,87.7,55,57,96.5
Marte, Starling,516782,14,5,70,7.1,17,41,41.5,54,67,80.6,72,80,90.0,72,77,93.5
Conforto, Michael,624424,13,1,75,1.3,10,34,29.4,45,59,76.3,80,83,96.4,43,45,95.6
Hernandez, Gorkys,491676,12,4,40,10.0,9,22,40.9,32,39,82.1,38,41,92.7,28,29,96.6
Smith, Mallex,605480,12,4,60,6.7,18,36,50.0,45,55,81.8,63,69,91.3,46,51,90.2
Souza Jr., Steven,519306,12,7,55,12.7,9,28,32.1,31,36,86.1,49,56,87.5,45,47,95.7
Rickard, Joey,572073,12,3,35,8.6,12,23,52.2,25,33,75.8,34,38,89.5,46,48,95.8
Orlando, Paulo,449181,10,4,31,12.9,10,17,58.8,19,26,73.1,18,19,94.7,16,19,84.2
Phillips, Brett,621433,10,2,11,18.2,7,11,63.6,13,15,86.7,14,14,100.0,18,19,94.7
Gardner, Brett,458731,10,4,85,4.7,14,45,31.1,54,68,79.4,82,89,92.1,72,78,92.3
Jones, JaCoby,592444,10,1,40,2.5,6,18,33.3,31,42,73.8,52,55,94.5,40,43,93.0
Robinson, Shane,453203,10,3,13,23.1,7,9,77.8,8,10,80.0,13,13,100.0,10,11,90.9
Nimmo, Brandon,607043,10,2,23,8.7,10,24,41.7,27,36,75.0,34,36,94.4,32,33,97.0
Tauchman, Mike,643565,9,0,14,0.0,5,6,83.3,8,8,100.0,17,17,100.0,11,11,100.0
Pinder, Chad,640461,9,1,24,4.2,3,6,50.0,19,25,76.0,23,24,95.8,17,17,100.0
Duggar, Steven,621453,9,0,11,0.0,5,11,45.5,13,17,76.5,23,23,100.0,17,17,100.0
Reddick, Josh,502210,8,4,57,7.0,21,45,46.7,39,48,81.3,68,74,91.9,74,82,90.2
Garcia, Avisail,541645,8,3,62,4.8,8,24,33.3,34,45,75.6,64,68,94.1,46,48,95.8
Yelich, Christian,592885,7,4,107,3.7,6,39,15.4,53,70,75.7,94,107,87.9,79,79,100.0
Stanton, Giancarlo,519317,7,5,70,7.1,9,24,37.5,24,38,63.2,58,64,90.6,48,50,96.0
Cordell, Ryan,641477,7,1,18,5.6,8,10,80.0,7,10,70.0,14,16,87.5,16,16,100.0
Revere, Ben,519184,6,2,22,9.1,5,12,41.7,14,20,70.0,20,20,100.0,18,19,94.7
Taylor, Chris,621035,6,0,24,0.0,7,11,63.6,21,28,75.0,28,32,87.5,25,25,100.0
Hernandez, Enrique,571771,6,3,21,14.3,9,18,50.0,16,20,80.0,18,20,90.0,17,21,81.0
Ellsbury, Jacoby,453056,6,4,34,11.8,4,14,28.6,13,21,61.9,34,37,91.9,39,40,97.5
Allen, Greg,656185,6,3,21,14.3,4,13,30.8,12,17,70.6,21,22,95.5,30,32,93.8
Gentry, Craig,502226,6,1,8,12.5,4,8,50.0,8,11,72.7,8,8,100.0,14,14,100.0
